TRADENO;TRADEDATE;TRADETIME;SECID;BOARDID;PRICE;QUANTITY;VALUE;TYPE;BUYSELL;TRADINGSESSION
4332842058;01.09.2021;09:59:37;BANEP;TQBR;1080.5;1;1080.5;;S;1
4332842059;01.09.2021;09:59:37;ENRU;TQBR;0.863;1000;863;;B;1
4332842060;01.09.2021;09:59:37;QIWI;TQBR;700;1;700;;S;1
4332842061;01.09.2021;09:59:37;QIWI;TQBR;700;2;1400;;S;1
4332842062;01.09.2021;09:59:38;FXCN;TQTD;45.27;50;2263.5;;B;1
4332842063;01.09.2021;09:59:38;FXCN;TQTD;45.27;50;2263.5;;B;1
4332842064;01.09.2021;09:59:38;FXCN;TQTD;45.27;1;45.27;;B;1
4332842065;01.09.2021;09:59:38;FXIM;TQTF;98.74;8;789.92;;B;1
4332842066;01.09.2021;09:59:38;FXIM;TQTF;98.74;3;296.22;;B;1
4332842067;01.09.2021;09:59:38;FXIM;TQTF;98.74;7;691.18;;S;1
4332842068;01.09.2021;09:59:38;FXIM;TQTF;98.74;14;1382.36;;S;1
4332842069;01.09.2021;09:59:38;FXIM;TQTF;98.74;1;98.74;;S;1
4332842070;01.09.2021;09:59:38;FXIM;TQTF;98.74;5;493.7;;S;1
4332842071;01.09.2021;09:59:38;CBOM;TQBR;6.938;1100;7631.8;;S;1
4332842072;01.09.2021;09:59:38;CBOM;TQBR;6.938;400;2775.2;;B;1
4332842073;01.09.2021;09:59:38;CBOM;TQBR;6.938;1800;12488.4;;S;1
4332842074;01.09.2021;09:59:38;CBOM;TQBR;6.938;700;4856.6;;S;1
4332842075;01.09.2021;09:59:38;CBOM;TQBR;6.938;109900;762486.2;;S;1
4332842076;01.09.2021;09:59:38;CBOM;TQBR;6.938;1300;9019.4;;B;1
4332842077;01.09.2021;09:59:38;ETLN;TQBR;123.9;500;61950;;B;1
4332842078;01.09.2021;09:59:38;ETLN;TQBR;123.9;500;61950;;B;1
4332842079;01.09.2021;09:59:38;FLOT;TQBR;87.99;10;879.9;;S;1
4332842080;01.09.2021;09:59:38;FLOT;TQBR;87.99;10;879.9;;S;1
4332842081;01.09.2021;09:59:38;FLOT;TQBR;87.99;50;4399.5;;B;1
